Sayaç_Kodu,Sayaç_Seri_No,Dönem,Gün,Saat,Çekiş
2127570400.0,500279486,01/2025,1,00-01,6.706
2127570400.0,500279486,01/2025,2,00-01,6.834
2127570400.0,500279486,01/2025,3,00-01,6.737
2127570400.0,500279486,01/2025,4,00-01,6.715
2127570400.0,500279486,01/2025,5,00-01,6.717
2127570400.0,500279486,01/2025,6,00-01,6.735
2127570400.0,500279486,01/2025,7,00-01,6.779
2127570400.0,500279486,01/2025,8,00-01,6.792
2127570400.0,500279486,01/2025,9,00-01,6.813
2127570400.0,500279486,01/2025,10,00-01,6.788
2127570400.0,500279486,01/2025,11,00-01,6.76
2127570400.0,500279486,01/2025,12,00-01,6.748
2127570400.0,500279486,01/2025,13,00-01,6.793
2127570400.0,500279486,01/2025,14,00-01,6.787
2127570400.0,500279486,01/2025,15,00-01,6.722
2127570400.0,500279486,01/2025,16,00-01,6.77
2127570400.0,500279486,01/2025,17,00-01,6.734
2127570400.0,500279486,01/2025,18,00-01,6.714
2127570400.0,500279486,01/2025,19,00-01,6.807
2127570400.0,500279486,01/2025,20,00-01,6.765
2127570400.0,500279486,01/2025,21,00-01,6.739
2127570400.0,500279486,01/2025,22,00-01,6.699
2127570400.0,500279486,01/2025,23,00-01,7.073
2127570400.0,500279486,01/2025,24,00-01,7.112
2127570400.0,500279486,01/2025,25,00-01,7.092
2127570400.0,500279486,01/2025,26,00-01,7.211
2127570400.0,500279486,01/2025,27,00-01,7.305
2127570400.0,500279486,01/2025,28,00-01,7.134
2127570400.0,500279486,01/2025,29,00-01,7.088
2127570400.0,500279486,01/2025,30,00-01,7.142
2127570400.0,500279486,01/2025,31,00-01,7.21
2127570400.0,500279486,01/2025,1,01-02,6.77
2127570400.0,500279486,01/2025,2,01-02,6.894
2127570400.0,500279486,01/2025,3,01-02,6.827
2127570400.0,500279486,01/2025,4,01-02,6.789
2127570400.0,500279486,01/2025,5,01-02,6.828
2127570400.0,500279486,01/2025,6,01-02,6.83
2127570400.0,500279486,01/2025,7,01-02,6.853
2127570400.0,500279486,01/2025,8,01-02,6.888
2127570400.0,500279486,01/2025,9,01-02,6.859
2127570400.0,500279486,01/2025,10,01-02,6.905
2127570400.0,500279486,01/2025,11,01-02,6.845
2127570400.0,500279486,01/2025,12,01-02,6.728
2127570400.0,500279486,01/2025,13,01-02,6.831
2127570400.0,500279486,01/2025,14,01-02,6.86
2127570400.0,500279486,01/2025,15,01-02,6.792
2127570400.0,500279486,01/2025,16,01-02,6.805
2127570400.0,500279486,01/2025,17,01-02,6.77
2127570400.0,500279486,01/2025,18,01-02,6.818
2127570400.0,500279486,01/2025,19,01-02,6.898
2127570400.0,500279486,01/2025,20,01-02,6.743
2127570400.0,500279486,01/2025,21,01-02,6.777
2127570400.0,500279486,01/2025,22,01-02,6.815
