Date,OSF_ID,Year,Month,DayOfWeek,IsWeekend,DailyTotal,DayMean,NightMean,EveningMean,MorningMean,DayNightRatio,TransitionSharpness,RampUp_16to17,RampDown_06to07,PeakHour,PeakValue,MinHour,MinValue,HourlyStd,NightStd,DayNonZeroCount,AllDayZero,n_present,missing_ratio,data_quality_flag,Flag_AllDayZero,DaytimeHighCount,Flag_DaytimeNonZero,NightDrop_Z,Flag_NightDrop,EveningOnHour,MorningOffHour,Flag_ScheduleShift,FlagCount,AnomalyTypes
2025-01-01,2193681000,2025,1,2,False,99.543,0.0005,6.8353,5.4864,5.8083,13643.2136,1.321,1.341,-0.02,7,6.98,9,0.0,3.2457,0.0979,0,False,24,0.0,complete,False,0,False,0.3454206793700003,False,17.0,9,True,1,ScheduleShift
2025-01-02,2193681000,2025,1,3,False,99.412,0.0005,6.8644,5.4798,5.698,13701.3473,1.323,1.231,0.092,4,6.962,9,0.0,3.2527,0.1089,0,False,24,0.0,complete,False,0,False,0.4351721819736334,False,17.0,9,True,1,ScheduleShift
2025-01-03,2193681000,2025,1,4,False,98.963,0.0005,6.8334,5.4442,5.6903,13639.4711,1.202,1.132,0.07,4,6.981,10,0.0,3.2455,0.1225,0,False,24,0.0,complete,False,0,False,0.3247478396588132,False,17.0,9,True,1,ScheduleShift
2025-01-04,2193681000,2025,1,5,True,78.848,0.0005,5.8979,4.0668,5.7417,11772.1699,1.036,1.001,0.035,4,6.978,10,0.0,3.3473,2.4095,0,False,23,0.0417,partial_missing,False,0,False,-2.9642287664675115,True,17.0,9,True,2,"NightDrop, ScheduleShift"
2025-01-05,2193681000,2025,1,6,True,99.045,0.0005,6.8368,5.391,5.7973,13646.2076,0.922,0.908,0.014,5,6.979,10,0.0,3.2623,0.1058,0,False,24,0.0,complete,False,0,False,0.3075092161771856,False,18.0,9,True,1,ScheduleShift
2025-01-06,2193681000,2025,1,0,False,79.188,0.0004,6.0317,3.4152,5.7567,16041.8883,0.921,0.813,0.108,4,7.047,9,0.0,3.3789,2.2837,0,False,23,0.0417,partial_missing,False,0,False,-2.656330265439585,True,18.0,9,True,2,"NightDrop, ScheduleShift"
2025-01-07,2193681000,2025,1,1,False,98.639,0.0005,6.8392,5.3604,5.7063,13651.1976,0.783,0.714,0.069,4,6.97,9,0.0,3.2669,0.1155,0,False,24,0.0,complete,False,0,False,0.3071469836599504,False,18.0,9,True,1,ScheduleShift
2025-01-08,2193681000,2025,1,2,False,98.545,0.0004,6.8624,5.316,5.6877,18250.9973,0.679,0.614,0.065,5,6.962,9,0.0,3.2767,0.1046,0,False,24,0.0,complete,False,0,False,0.35271913798069365,False,18.0,9,True,1,ScheduleShift
2025-01-09,2193681000,2025,1,3,False,98.762,0.0003,6.8767,5.327,5.7037,27397.4104,0.608,0.5,0.108,4,7.004,10,0.0,3.2936,0.1102,0,False,24,0.0,complete,False,0,False,0.32947790606514293,False,18.0,9,True,1,ScheduleShift
2025-01-10,2193681000,2025,1,4,False,99.012,0.0004,6.8982,5.3304,5.7237,18346.4096,0.493,0.398,0.095,4,7.043,9,0.0,3.3117,0.1357,0,False,24,0.0,complete,False,0,False,0.33929527341485655,False,18.0,9,True,1,ScheduleShift
2025-01-11,2193681000,2025,1,5,True,97.848,0.0004,6.8533,5.1862,5.696,18226.7287,0.338,0.284,0.054,3,7.01,9,0.0,3.2812,0.1393,0,False,24,0.0,complete,False,0,False,0.11525544265292224,False,18.0,9,True,1,ScheduleShift
2025-01-12,2193681000,2025,1,6,True,97.729,0.0005,6.8204,5.1986,5.723,13613.523,0.204,0.188,0.016,5,6.998,9,0.0,3.2868,0.0968,0,False,24,0.0,complete,False,0,False,-0.06465485787371406,False,18.0,9,True,1,ScheduleShift
2025-01-13,2193681000,2025,1,0,False,97.628,0.0004,6.8536,5.181,5.6303,18227.7261,0.175,0.106,0.069,5,6.998,9,0.0,3.2958,0.1177,0,False,24,0.0,complete,False,0,False,-0.00530404134756111,False,18.0,9,True,1,ScheduleShift
2025-01-14,2193681000,2025,1,1,False,97.204,0.0005,6.808,5.1858,5.6023,13588.8224,0.062,0.03,0.032,5,6.917,10,0.0,3.2864,0.1152,0,False,24,0.0,complete,False,0,False,-0.1976745284635338,False,18.0,9,True,1,ScheduleShift
