Hour,Mean_kWh,Std_kWh,Median_kWh
0,6.755679197994987,0.6608910289176861,6.98
1,6.817984962406015,0.6724327018124334,7.042
2,6.858588972431078,0.6810266499693962,7.075
3,6.879518796992481,0.6856862161056934,7.115
4,6.885421052631579,0.6924043994805306,7.113
5,5.833844611528822,1.9805143387881625,6.791
6,3.969646616541353,3.049345568299347,5.011
7,2.3213859649122806,2.8276756380414954,0.001
8,0.2544937343358396,0.7591781587476268,0.001
9,0.0009348370927318296,0.005545677334330776,0.001
10,0.0013233082706766918,0.01665382787822953,0.0
11,0.006413533834586467,0.09381151270967555,0.0
12,0.0024310776942355894,0.03792407962851345,0.001
13,0.00600501253132832,0.08385138789068022,0.0
14,0.0005238095238095238,0.0005000598193457906,0.001
15,0.00044110275689223055,0.0004971423736373187,0.0
16,0.006418546365914787,0.11752129180292124,0.001
17,0.8237744360902255,1.5094281952551691,0.001
18,2.685704260651629,2.8854300408013165,1.065
19,4.229157894736842,2.877227873983169,5.281
20,6.315478696741855,0.9011684285444829,6.61
21,6.636588972431078,0.6249151190431717,6.831
22,6.698644110275689,0.6339068092973247,6.907
23,6.7426315789473685,0.6303832742606692,6.948
