date,daily_active_kwh,baseline_kwh,deviation_pct,active_hours_count,mean_active_intensity,t1a_zscore_severity,t1b_cusum_severity,t2a_iforest_severity,t2b_lstm_severity,t3_changepoint_severity,s1,s2,s3,ensemble_score,vote_count,anomaly_type,confidence,physically_supported,is_ground_truth
2025-01-01,99.539,98.13200000000002,1.4337830676900951,16,6.2211875,0.0,0.0,0.18966194262142885,0.0,0.0,0.0,0.18966194262142885,0.0,0.06638167991750009,0,normal,low,False,0
2025-01-02,99.408,98.13200000000002,1.300289406092792,16,6.213,0.0,0.0,0.1883508335119059,0.0,0.0,0.0,0.1883508335119059,0.0,0.06592279172916705,0,normal,low,False,0
2025-01-03,98.959,98.13200000000002,0.8427424285570011,16,6.1849375,0.0,0.0,0.17787190880545956,0.0,0.0,0.0,0.17787190880545956,0.0,0.06225516808191084,0,normal,low,False,0
2025-01-04,78.84399999999998,98.13200000000002,-19.655158357929608,13,6.064923076923075,0.0,0.13301935684798633,0.3433188101582504,0.0,0.0,0.5594555609744642,0.3433188101582504,0.0,0.3159710298964501,1,sudden_drop,moderate,False,0
2025-01-05,98.13200000000002,98.13200000000002,0.0,15,6.542133333333335,0.0,0.05482878213864664,0.23276138336496877,0.0,0.0,0.05482878213864664,0.23276138336496877,0.0,0.10065655792626539,0,normal,low,False,0
2025-01-06,78.372,98.13200000000002,-20.136143153913764,12,6.531,0.0,0.004828782139201467,0.32499669406244974,0.0,0.0,0.5740491127360756,0.32499669406244974,0.0,0.3146660323794839,1,sudden_drop,moderate,True,0
2025-01-07,97.92,98.13200000000002,-0.21603554395901145,15,6.528,0.0,0.0,0.2340041811232299,0.0,0.0,0.08460686276227826,0.2340041811232299,0.0,0.11151386535992786,0,normal,low,False,0
2025-01-08,97.928,98.13200000000002,-0.2078832592813181,15,6.528533333333334,0.0,0.0,0.11715510974919717,0.0,0.0,0.04832591016036556,0.11715510974919717,0.0,0.057918356968346955,0,normal,low,False,0
2025-01-09,98.26000000000002,98.03000000000002,0.23462205447073115,15,6.550666666666668,0.0,0.24412816449134367,0.11241797838729513,0.0,0.0,0.24412816449134367,0.11241797838729513,0.0,0.12479115000752357,0,normal,low,False,1
2025-01-10,98.611,98.13200000000002,0.4881180450771448,15,6.574066666666667,0.0,0.48521590021066024,0.047482116724079405,0.0,0.0,0.48521590021066024,0.047482116724079405,0.0,0.18644430592715888,0,normal,low,False,0
2025-01-11,97.561,98.19600000000004,-0.6466658519629788,15,6.504066666666666,0.0,0.7089820690937362,0.08282008961458331,0.0,0.0,0.7089820690937362,0.08282008961458331,0.0,0.2771307555479118,1,normal,moderate,False,0
2025-01-12,97.536,98.13200000000002,-0.6073452084885096,15,6.5024,0.0,0.6589820690942911,0.029875274670448513,0.0,0.0,0.6589820690942911,0.029875274670448513,0.0,0.24110007031765887,1,normal,moderate,False,0
2025-01-13,97.519,98.03000000000002,-0.5212689992806254,15,6.501266666666666,0.0,0.6089820690948449,0.07045292913315121,0.0,0.0,0.6089820690948449,0.07045292913315121,0.0,0.2378022493797986,1,normal,moderate,False,0
2025-01-14,97.17,97.928,-0.7740380687773213,15,6.477999999999999,0.0,0.5589820690953997,-0.0,0.0,0.0,0.5589820690953997,0.0,0.0,0.19564372418338988,1,normal,moderate,False,0
2025-01-15,96.81,97.924,-1.137616927401483,15,6.453999999999999,0.0,0.5089820690959558,0.0021760746136639275,0.0,0.0,0.5089820690959558,0.0021760746136639275,0.0,0.17890535029836688,1,normal,moderate,False,0
2025-01-16,96.803,97.92,-1.1407271241713615,15,6.453533333333334,0.0,0.4589820690965127,0.002058699732289085,0.0,0.0,0.4589820690965127,0.002058699732289085,0.0,0.16136426909008061,0,normal,low,False,0
2025-01-17,96.694,97.7405,-1.0706922923345878,15,6.446266666666667,0.0,0.6745146680933071,0.0077467347632484375,0.0,0.0,0.6745146680933071,0.0077467347632484375,0.0,0.2387914909997944,1,normal,moderate,False,0
2025-01-18,96.786,97.561,-0.7943748013981631,15,6.4524,0.0,0.8629275301600742,0.004026278648963222,0.0,0.0,0.8629275301600742,0.004026278648963222,0.0,0.3034338330831631,1,normal,moderate,False,0
2025-01-19,97.141,97.5485,-0.41774091861568496,15,6.476066666666667,0.0,0.8129275301606304,0.003589201338189514,0.0,0.0,0.8129275301606304,0.003589201338189514,0.0,0.2857808560245869,1,normal,moderate,False,0
2025-01-20,96.56399999999998,97.536,-0.996555118100042,15,6.437599999999999,0.0,0.7629275301611873,0.004374006110962998,0.0,0.0,0.7629275301611873,0.004374006110962998,0.0,0.2685555376952526,1,normal,moderate,False,0
2025-01-21,96.32,97.5275,-1.2381123272796175,15,6.421333333333333,0.0,0.712927530161743,0.006822387406543283,0.0,0.0,0.712927530161743,0.006822387406543283,0.0,0.2519124711489002,1,normal,moderate,False,0
2025-01-22,100.39600000000002,97.519,2.950194321076413,15,6.693066666666668,0.0,0.6629275301622984,0.0376896013028698,0.0,0.0,0.6629275301622984,0.0376896013028698,0.0,0.24521599601280888,1,normal,moderate,False,0
2025-01-23,101.323,97.5275,3.8917228473621,15,6.754866666666668,0.0,0.7040349471611024,0.03958041450908646,0.0,0.0,0.7040349471611024,0.03958041450908646,0.0,0.26026537658456605,1,normal,moderate,False,0
2025-01-24,101.296,97.536,3.8549868766009014,15,6.753066666666666,0.0,0.6540349471616566,0.0341892965538068,0.0,0.0,0.6540349471616566,0.0341892965538068,0.0,0.24087848530041214,1,normal,moderate,False,0
2025-01-25,101.36699999999998,97.5485,3.914463061923891,15,6.757799999999999,0.0,0.8861789398508645,0.033230558029953505,0.0,0.0,0.8861789398508645,0.033230558029953505,0.0,0.3217933242582863,1,normal,moderate,False,0
2025-01-26,102.14200000000002,97.561,4.695523826070932,15,6.809466666666668,0.0,0.8361789398514199,0.05021099024118504,0.0,0.0,0.8361789398514199,0.05021099024118504,0.0,0.3102364755324117,1,normal,moderate,False,0
2025-01-27,101.029,97.7405,3.364521360097763,15,6.735266666666667,0.0,0.7861789398519766,0.035261054034718006,0.0,0.0,0.7861789398519766,0.035261054034718006,0.0,0.28750399786034314,1,normal,moderate,False,0
2025-01-28,100.223,97.92,2.351919934616501,15,6.681533333333333,0.0,1.0,0.024259745110756868,0.0,0.0,1.0,0.024259745110756868,0.0,0.3584909107887649,1,normal,moderate,False,0
