Date,Hour,Imputed_Value,Method
2025-01-04,22,6.682,monthly_hourly_median_for_gaf
2025-01-06,21,6.632,monthly_hourly_median_for_gaf
2025-01-26,13,0.0,monthly_hourly_median_for_gaf
2025-01-26,14,0.0005,monthly_hourly_median_for_gaf
2025-02-03,19,6.845,monthly_hourly_median_for_gaf
2025-02-03,20,6.889,monthly_hourly_median_for_gaf
2025-03-05,13,0.001,monthly_hourly_median_for_gaf
2025-03-12,2,7.143,monthly_hourly_median_for_gaf
2025-03-12,3,7.157,monthly_hourly_median_for_gaf
2025-03-16,9,0.001,monthly_hourly_median_for_gaf
2025-03-16,10,0.0,monthly_hourly_median_for_gaf
2025-03-17,20,6.865,monthly_hourly_median_for_gaf
2025-03-17,21,6.914,monthly_hourly_median_for_gaf
2026-02-12,12,0.0,monthly_hourly_median_for_gaf
2026-02-12,13,0.001,monthly_hourly_median_for_gaf
2026-02-12,14,0.0,monthly_hourly_median_for_gaf
2026-02-12,15,0.001,monthly_hourly_median_for_gaf
2026-02-12,16,0.0,monthly_hourly_median_for_gaf
2026-02-12,17,0.001,monthly_hourly_median_for_gaf
2026-02-12,18,6.673,monthly_hourly_median_for_gaf
2026-02-12,19,7.067,monthly_hourly_median_for_gaf
2026-02-12,20,7.083,monthly_hourly_median_for_gaf
2026-02-13,10,0.0,monthly_hourly_median_for_gaf
2026-02-13,11,0.001,monthly_hourly_median_for_gaf
2026-02-13,12,0.0,monthly_hourly_median_for_gaf
2026-02-13,13,0.001,monthly_hourly_median_for_gaf
2026-02-13,14,0.0,monthly_hourly_median_for_gaf
2026-02-13,15,0.001,monthly_hourly_median_for_gaf
2026-02-13,16,0.0,monthly_hourly_median_for_gaf
2026-02-13,17,0.001,monthly_hourly_median_for_gaf
2026-02-13,18,6.673,monthly_hourly_median_for_gaf
2026-02-13,19,7.067,monthly_hourly_median_for_gaf
2026-02-13,20,7.083,monthly_hourly_median_for_gaf
2026-02-13,21,7.146,monthly_hourly_median_for_gaf
2026-02-13,22,7.189,monthly_hourly_median_for_gaf
2026-02-13,23,7.264,monthly_hourly_median_for_gaf
