ChangePoint_Date,ChangePoint_Index,Before_Mean,After_Mean,Change_kWh,Change_Pct,Before_Days,After_Days,Duration_Days,Persistent,Series
2025-01-20,19,5.095,4.02,-1.075,-21.1,19,94,94,False,EveningMean
2025-02-21,51,94.341,79.589,-14.752,-15.6,14,76,76,False,DailyTotal
2025-04-24,113,4.02,2.72,-1.301,-32.4,94,14,14,True,EveningMean
2025-05-08,127,79.589,65.232,-14.356,-18.0,76,14,14,True,DailyTotal
2025-07-31,211,2.472,2.886,0.415,16.8,14,14,14,True,EveningMean
2025-08-14,225,2.886,4.326,1.44,49.9,14,69,69,False,EveningMean
2025-08-28,239,66.876,85.556,18.68,27.9,14,79,79,True,DailyTotal
2025-10-22,294,4.326,5.542,1.216,28.1,69,14,14,True,EveningMean
2025-11-15,318,85.556,100.307,14.751,17.2,79,14,14,True,DailyTotal
2025-12-03,336,6.61,5.56,-1.049,-15.9,14,14,14,False,EveningMean
2025-12-13,346,96.49,71.485,-25.005,-25.9,14,19,19,True,DailyTotal
2025-12-13,346,6.721,5.066,-1.655,-24.6,14,14,14,True,NightMean
2025-12-17,350,5.56,4.624,-0.936,-16.8,14,25,25,True,EveningMean
2026-01-01,365,71.485,85.363,13.878,19.4,19,14,14,False,DailyTotal
2026-01-10,374,5.022,6.321,1.3,25.9,14,14,14,True,NightMean
2026-01-11,375,4.624,5.425,0.8,17.3,25,14,14,True,EveningMean
