Date,anomaly_score,missing_ratio,data_quality_flag,Priority,AnomalyTypes,Notes
2025-01-01,0.12603208693937656,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-02,0.1263752628208062,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-03,0.12531498969435212,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-04,0.5419764091636274,0.0417,partial_missing,HIGH,"NightDrop, ScheduleShift","Partial missing (4% missing, scores mask-aware); Flags: NightDrop, ScheduleShift"
2025-01-05,0.12920704870876157,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-06,0.48561658208676656,0.0417,partial_missing,HIGH,"NightDrop, ScheduleShift","Partial missing (4% missing, scores mask-aware); Flags: NightDrop, ScheduleShift"
2025-01-07,0.12905510953552154,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-08,0.13038011971338545,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-09,0.1308572604152065,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-10,0.13250219491924936,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-11,0.13487461280152266,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-12,0.13746103011024932,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-13,0.13776865863300208,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-14,0.14372291625319555,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-15,0.1465369554871552,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-16,0.15289106128748167,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-17,0.16144339336146987,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-18,0.18060144995176403,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-19,0.2147380886077124,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-20,0.3167495319622013,0.0,complete,MEDIUM,ScheduleShift,Flags: ScheduleShift
2025-01-21,0.21192740847109995,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-22,0.18213963071761569,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-23,0.1646343103958389,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-24,0.15463663008904027,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-25,0.14913810191105883,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-26,0.14389776970471943,0.0833,partial_missing,LOW,ScheduleShift,"Partial missing (8% missing, scores mask-aware); Flags: ScheduleShift"
2025-01-27,0.13823270634132104,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-28,0.13501832877731623,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-29,0.13236015855876257,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-30,0.13007278831759503,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
2025-01-31,0.128364515611929,0.0,complete,LOW,ScheduleShift,Flags: ScheduleShift
